"1";"1";"194";"1";
"2";"2";"194";"2";
"3";"3";"194";"2a";
"4";"4";"194";"2b";
"5";"5";"194";"3";
"6";"6";"194";"4";
"7";"8";"194";"6";
"8";"7";"194";"5";
"9";"9";"194";"7";
"10";"10";"194";"7a";
"11";"11";"194";"7b";
"12";"12";"194";"7c";
"13";"13";"194";"8";
"14";"14";"194";"8a";
"15";"15";"194";"9";
"16";"16";"194";"9а";
"17";"17";"194";"10";
"18";"18";"194";"10а";
"19";"19";"194";"11";
"20";"20";"194";"12";
"21";"21";"194";"13";
"22";"22";"194";"14";
"23";"23";"194";"14a";
"24";"24";"194";"15";
"25";"25";"194";"16";
"26";"26";"194";"17";
"27";"27";"194";"18";
"28";"28";"194";"18a";
"29";"29";"194";"19";
"30";"30";"194";"19a";
"31";"31";"194";"20";
"32";"32";"194";"21";
"33";"33";"194";"22";
"34";"34";"194";"23";
"35";"35";"194";"24";
"36";"36";"194";"24a";
"37";"37";"194";"25";
"38";"38";"194";"26";
"39";"39";"194";"28";
"40";"40";"194";"28a";
"41";"41";"194";"28b";
"42";"42";"194";"29";
"43";"43";"194";"30";
"44";"44";"194";"31";
"45";"45";"194";"31а";
"46";"46";"194";"32";
"47";"47";"194";"32a";
"48";"48";"194";"32b";
"49";"49";"194";"33";
"50";"50";"194";"34";
"51";"51";"194";"35";
"52";"52";"194";"35a";
"53";"53";"194";"36";
"54";"54";"194";"37";
"55";"55";"194";"38";
"56";"56";"194";"39";
"57";"57";"194";"40";
"58";"58";"194";"40a";
"59";"59";"195";"41";
"60";"60";"195";"41a";
"61";"61";"195";"41b";
"62";"62";"195";"41c";
"63";"63";"195";"42";
"64";"64";"195";"42a";
"65";"65";"195";"43";
"66";"66";"195";"43a";
"67";"67";"195";"44";
"68";"68";"195";"45";
"69";"69";"195";"46";
"70";"70";"195";"47";
"71";"71";"195";"47a";
"72";"72";"195";"47b";
"73";"73";"195";"48";
"74";"74";"195";"49";
"75";"75";"195";"49а";
"76";"76";"195";"50";
"77";"77";"195";"51";
"78";"78";"195";"52";
"79";"79";"195";"52а";
"80";"80";"195";"53";
"81";"81";"196";"54";
"82";"82";"196";"54а";
"83";"83";"196";"55";
"84";"84";"196";"56";
"85";"85";"196";"57";
"86";"86";"196";"57а";
"87";"87";"196";"58";
"88";"88";"196";"59";
"89";"89";"196";"60";
"90";"90";"196";"61";
"91";"91";"196";"62";
"92";"92";"196";"63";
"93";"93";"196";"64";
"94";"94";"196";"65";
"95";"95";"196";"66";
"96";"96";"196";"67";
"97";"97";"196";"69";
"98";"98";"196";"70";
"99";"99";"196";"71";
"100";"100";"196";"71a";
"101";"101";"196";"72";
"102";"102";"196";"74";
"103";"103";"196";"75";
"104";"104";"197";"76";
"105";"105";"197";"76a";
"106";"106";"197";"77";
"107";"107";"197";"78";
"108";"108";"197";"78a";
"109";"109";"197";"78b";
"110";"110";"197";"79";
"111";"111";"197";"79a";
"112";"112";"197";"80";
"113";"113";"197";"81";
"114";"114";"197";"82";
"115";"115";"197";"82a";
"116";"116";"197";"83";
"117";"117";"197";"84";
"118";"118";"197";"84a";
"119";"119";"197";"85";
"120";"120";"197";"86";
"121";"121";"197";"87";
"122";"122";"197";"88";
"123";"123";"197";"89";
"124";"124";"197";"89a";
"125";"125";"198";"90";
"126";"126";"199";"91";
"127";"127";"200";"92";
"128";"128";"201";"93";
"129";"129";"202";"94";
"130";"130";"203";"95";
"131";"131";"204";"96";
"132";"132";"205";"97";
"133";"133";"206";"98";
"134";"134";"208";"99,100,101";
"135";"135";"207";"102,103";
"136";"136";"207";"104";
"137";"137";"207";"105";
"138";"138";"209";"106";
"139";"139";"210";"107";
"140";"140";"211";"109";
"141";"141";"212";"110";
"142";"142";"213";"109";
"143";"143";"214";"111";
"144";"144";"215";"112";
"145";"145";"216";"113";
"146";"146";"217";"114";
"147";"147";"218";"115";
"148";"148";"219";"116";
"149";"149";"219";"117";
"150";"150";"220";"118";
"151";"151";"221";"119";
"152";"152";"222";"120";
"153";"153";"223";"121";
"154";"154";"224";"122";
"155";"155";"225";"123";
"156";"156";"226";"124";
"157";"157";"229";"125";
"158";"158";"230";"126";
"159";"159";"231";;
"160";"160";"231";;
"161";"161";"235";"127, 128";
"162";"162";"237";"129";
"163";"163";"238";"130";
"164";"164";"239";"131";
"165";"165";"239";"132";
"166";"166";"239";"133";
"167";"167";"239";"134";
"168";"168";"249";"131";
"169";"169";"239";"134a";
"170";"169";"239";"134a";
"171";"170";"239";"134b";
"172";"171";"239";"135";
"173";"172";"239";"136";
"174";"173";"239";"137, 137a";
"175";"174";"239";"138";
"176";"175";"260";"140";
"177";"176";"260";"141";
"178";"177";"262";"142";
"179";"178";"262";"143";
"180";"179";"328";"143";
"181";"180";"262";"144";
"182";"181";"329";"144";
"183";"182";"330";;
"184";"183";"331";"145";
"185";"184";"332";"145";
"186";"185";"332";"145а";
"187";"186";"329";"145b";
"188";"187";"328";"145b";
"189";"188";"328";"146";
"190";"189";"328";"146a";
"191";"190";"328";"147";
"192";"191";"332";"148";
"193";"192";"328";"148";
"194";"193";"331";"148";
"195";"194";"332";"149";
"196";"195";"332";"150";
"197";"196";"328";"150а";
"198";"197";"331";"151";
"199";"198";"332";"151";
"200";"199";"328";"151";
"201";"200";"329";"151";
"202";"201";"332";"152";"Таблицата е предназначена за преходни глаголи от свършен вид, 
но съдържа и непреходни глаголи, както и глаголи от несвършен вид, 
които трябва да отидат в други таблици."
"203";"202";"328";"152a";
"204";"203";"332";"153";
